ga_candidate,total_dollars,avg_contribution
D-OSSOFF,55766107.15000005,46.81376955641759
D-WARNOCK,58220849.78000007,45.151622379119196
R-LOEFFLER,26995653.369999994,55.576572905558145
R-PERDUE,28593871.290000003,59.58049527004499
